34.579201,30.447157,-0.153468,39,242
34.243443,28.48068,1.24797,279,20
34.236076,28.479698,-0.917687,278,378
33.553917,28.36834,-1.743522,407,512
35.899281,13.908201,5.009962,435,75
33.908379,26.512482,0.540429,399,165
33.292583,24.734165,-1.75164,513,417
33.243687,22.571609,1.241788,522,154
32.580299,18.626324,1.241917,582,189
31.835463,17.318607,-1.470584,632,339
31.84075,17.312178,-1.761818,631,355
29.270002,14.076117,-1.568275,744,328
28.589506,10.262906,1.390451,737,214
25.967697,10.07156,1.299322,828,216
21.79985,10.781782,1.29163,971,214
18.137953,12.308637,2.75186,1093,168
22.023455,19.246201,1.273142,1129,188
23.176685,18.481888,-1.686885,1076,333
23.906851,22.785694,-1.692472,1173,351
21.518345,20.023285,-1.72968,1175,338
37.581974,13.87313,1.242847,371,234
26.910133,15.505796,-1.847536,861,340
